$offlisting
*   Contains Z(i,i), te(i), pe, r(i)

table Z(i,i)

                 i1                        i2                        i3
 i5    1.969280065613928e-001   -2.246130703859206e+000   -1.460566593261227e+000
 i6    7.553151514339329e-001   -1.269243755860154e+000   -8.133206474610817e-001
 i7    1.422059640567308e+000   -1.720651999217693e-001   -3.484477909871830e-002
 i8    2.011562476275601e+000    7.729365621242530e-001    6.376634767646332e-001
 i9    2.623692815272077e+000    1.727206741616674e+000    1.325918692725380e+000
i10    3.212751427970386e+000    2.616750251415974e+000    1.969971482948139e+000
i11    3.831941344237603e+000    3.526670823753334e+000    2.629758867357711e+000
i12    4.460138479291240e+000    4.418570687690696e+000    3.277114798586605e+000
i13    5.144287182100292e+000    5.363345547911411e+000    3.958718304544998e+000
i14    5.870172948571728e+000    6.330591531755387e+000    4.655789324949072e+000
i15    6.694217538235920e+000    7.399700355981706e+000    5.416331918676169e+000
i16    7.604305630126250e+000    8.538386059967289e+000    6.224834884359303e+000
i17    8.684598873101866e+000    9.857280433292791e+000    7.142232982496855e+000
i18    9.923548044998171e+000    1.131387716325997e+001    8.153707691692526e+000
i19    1.146742173227162e+001    1.309137971078922e+001    9.350679005492838e+000
i20    1.331122462107169e+001    1.512242032277865e+001    1.071817689678353e+001
i21    1.572196394019140e+001    1.776866224773230e+001    1.241291346410331e+001
i22    1.880133531583979e+001    2.088244259586177e+001    1.442614706442191e+001
i23    2.270211808652600e+001    2.542331264972583e+001    1.703995326796974e+001
i24    2.915426852578304e+001    3.068908788456558e+001    2.035248652305953e+001
i25    3.135354270277968e+001    4.128378649860515e+001    2.453936785073937e+001
i26    5.635953098873126e+001    4.990175809355813e+001    3.132842323115095e+001
i27   -2.520734711569949e+001    9.922325322190328e+001    3.395309735520458e+001
i28    2.226001040796223e+002    8.862564975092772e+001    5.947590729222448e+001
i29   -1.120536700682034e+003    5.609087531252121e+002   -2.141338522613592e+001
i30    2.721572886303665e+003    6.921534998732332e+001    2.272579628768989e+002
i31   -1.019133358156529e+004    5.406091267896608e+003   -1.114700256707677e+003
i32    2.724515720032130e+003   -6.686923400794375e+003    2.729108174473215e+003
i33   -1.114242775615048e+003    5.412692746397440e+003   -1.018165855103341e+004
i34    2.332649386702281e+002    8.406736807864552e+001    2.739305408584392e+003
i35   -7.976009417331102e+000    5.861292905494573e+002   -1.098040025158138e+003
i36    9.330221724541789e+001    1.492917455079640e+002    2.906717395064926e+002
i37    1.186693215764481e+002    2.368577563672468e+002    3.645462192046149e+001

 +               i34                       i35                       i36
 i1    1.468460157373696e+001    1.529185863220175e+001    2.991576328491601e+001
 i2   -9.959045855129929e+000   -6.945672518681459e+000   -2.488704989483182e+001
 i3   -7.275195570593779e+000   -4.815116340450690e+000   -1.915226732658837e+001
 i4   -7.353529272723855e+000   -5.232196650945003e+000   -1.961653639489398e+001
 i5   -5.446521562488623e+000   -3.849889608126869e+000   -1.567276497573459e+001
 i6   -4.240438802849749e+000   -3.011541083328414e+000   -1.323822352919621e+001
 i7   -2.863127642835242e+000   -2.009546866854521e+000   -1.043670924628484e+001
 i8   -1.696259779779943e+000   -1.160958759759815e+000   -8.104097610275218e+000
 i9   -5.283898253046342e-001   -3.045262617698583e-001   -5.792261534774497e+000
i10    5.369770393785114e-001    4.769007465954367e-001   -3.732790048176810e+000
i11    1.604506841960784e+000    1.260718098361247e+000   -1.706133544693373e+000
i12    2.621779063734966e+000    2.006360015288584e+000    1.656013826369644e-001
i13    3.667742736676164e+000    2.770598765151437e+000    2.043341342488333e+000
i14    4.703920510706160e+000    3.525324544212946e+000    3.834465941729107e+000
i15    5.807372199717664e+000    4.323527402444457e+000    5.686730947324719e+000
i16    6.942112210842771e+000    5.141332698851764e+000    7.512973127714460e+000
i17    8.199883356772237e+000    6.038023915321100e+000    9.473088511000555e+000
i18    9.540366079820075e+000    6.990413211597097e+000    1.147249221031237e+001
i19    1.109209871925792e+001    8.075487271771866e+000    1.370848895093069e+001
i20    1.280298028738716e+001    9.268898953908192e+000    1.606817434526586e+001
i21    1.488110204718978e+001    1.068425894069963e+001    1.882326667620572e+001
i22    1.724856492624099e+001    1.229585167126916e+001    2.182959435806824e+001
i23    2.030234704808233e+001    1.429156580546163e+001    2.550219403473574e+001
i24    2.388454957431758e+001    1.665235935120286e+001    2.964483424371789e+001
i25    2.900755356827136e+001    1.970565511128017e+001    3.497573701423155e+001
i26    3.496245718643679e+001    2.354504966526658e+001    4.118560781536935e+001
i27    4.643957120003486e+001    2.841466744146640e+001    4.983217841792911e+001
i28    5.613872015686609e+001    3.606300264333420e+001    6.002511530484207e+001
i29    1.069046333931921e+002    3.982036059234779e+001    7.748795150406568e+001
i30    9.815313480461541e+001    6.689950153474520e+001    9.482403047349428e+001
i31    5.731164633129189e+002   -1.206429950009266e+001    1.569044636721102e+002
i32    8.499903221630457e+001    2.401096902585816e+002    1.648230116127502e+002
i33    5.428455290013019e+003   -1.100148302127910e+003    6.616481195403160e+002
i34   -6.655855541851546e+003    2.757225097595455e+003    2.333214772771007e+002
i35    5.474655916643676e+003   -1.018126161324720e+004    5.579427460603734e+003
i36    1.906620675841672e+002    2.840843569139254e+003   -5.785322347716511e+003
i37    1.104781815833499e+003   -1.687711420567927e+003    7.479337267828090e+003

 +               i37
 i1    1.574405783230827e+001
 i2   -1.269083851580689e+001
 i3   -9.764582395555919e+000
 i4   -1.008653437148874e+001
 i5   -8.121144205184748e+000
 i6   -6.920532485186982e+000
 i7   -5.530866618743104e+000
 i8   -4.380091579439366e+000
 i9   -3.241585755003186e+000
i10   -2.234968640711628e+000
i11   -1.248434640078159e+000
i12   -3.468559603784769e-001
i13    5.525434612867457e-001
i14    1.398583235744511e+000
i15    2.267867969543346e+000
i16    3.110063036035456e+000
i17    4.008332967931878e+000
i18    4.905513151114519e+000
i19    5.903857711382514e+000
i20    6.931781236098615e+000
i21    8.128329067221870e+000
i22    9.397035228632191e+000
i23    1.094461611037377e+001
i24    1.263213832483122e+001
i25    1.479553873290487e+001
i26    1.722146713927100e+001
i27    2.050043742094283e+001
i28    2.432281034262858e+001
i29    2.958812576908401e+001
i30    3.667280441495446e+001
i31    4.261551534179906e+001
i32    6.421437887954863e+001
i33    1.432570504332386e+001
i34    1.968729798270043e+002
i35   -7.234082786328855e+002
i36    1.884346388175302e+003
i37   -7.719961432953624e+003   ;

parameter te(i)
/
 i1    -1.237993255863876e+002
 i2    -3.617965806660914e+001
 i3    -3.656592734251558e+001
 i4    -2.872658770520849e+001
 i5    -2.772733008053249e+001
 i6    -2.515590956242036e+001
 i7    -2.344442316726190e+001
 i8    -2.148258916660145e+001
 i9    -1.970907998593792e+001
i10    -1.787112271092567e+001
i11    -1.610690019078207e+001
i12    -1.431979026428025e+001
i13    -1.257067820196933e+001
i14    -1.081177625576413e+001
i15    -9.073369156855343e+000
i16    -7.329421545167698e+000
i17    -5.594474528494406e+000
i18    -3.854464237298682e+000
i19    -2.113848302806621e+000
i20    -3.664618714798262e-001
i21     1.391567844168566e+000
i22     3.160023455565136e+000
i23     4.951933251119677e+000
i24     6.760671628588003e+000
i25     8.612268609080520e+000
i26     1.049234945287434e+001
i27     1.244952512601028e+001
i28     1.445888368499094e+001
i29     1.661603434827593e+001
i30     1.888136549696743e+001
i31     2.147208744880602e+001
i32     2.433515417366648e+001
i33     2.810845932130503e+001
i34     3.292997512746775e+001
i35     4.146887552345208e+001
i36     6.270667764452168e+001
i37     1.289534890337866e+002
/;

scalar pe
/        2.959760950150151e+002   /;

parameter r(i)
/
 i1     9.447608171490448e+001
 i2     1.393125437997745e+002
 i3     5.377162028696054e+001
 i4     8.925214207545328e+001
 i5     5.353358315047875e+001
 i6     7.636387123965621e+001
 i7     4.594822280436769e+001
 i8     6.528275934237975e+001
 i9     3.853300462921743e+001
i10     5.444381778425925e+001
i11     3.136900253011899e+001
i12     4.373792055355885e+001
i13     2.437402978112813e+001
i14     3.312781759200559e+001
i15     1.748295688885084e+001
i16     2.257523028888780e+001
i17     1.064243655292830e+001
i18     1.203646876041364e+001
i19     3.802175282124039e+000
i20     1.459381575187577e+000
i21    -3.092878865533050e+000
i22    -9.223455785430334e+000
i23    -1.011241720499227e+001
i24    -2.010896604358162e+001
i25    -1.735781822987153e+001
i26    -3.135475816436399e+001
i27    -2.499769762263502e+001
i28    -4.325515737765694e+001
i29    -3.335288790961617e+001
i30    -5.645861338118669e+001
i31    -4.312560287802491e+001
i32    -7.276671696973568e+001
i33    -5.608549061708348e+001
i34    -9.948967393045673e+001
i35    -7.589752081630513e+001
i36    -2.099816371589690e+002
i37    -1.048637736772232e+002
/;
$onlisting
